ImageID,Prediction,GroundTruth
Drone/2022-02-19/DCIM/100FPLAN/RGB/DJI_001_4200/2022_02_19_10_100073_DJI_001_-38.23606383333333_145.53049869444445_-58.20_10_87_6.TIF,110.61772832774747,87.0
Drone/2022-02-19/DCIM/100FPLAN/RGB/DJI_001_4200/2022_02_19_10_100073_DJI_001_-38.23606383333333_145.53049869444445_-58.20_11_153_6.TIF,168.37384409658333,153.0
Drone/2022-02-19/DCIM/100FPLAN/RGB/DJI_001_4200/2022_02_19_10_100073_DJI_001_-38.23606383333333_145.53049869444445_-58.20_12_483_6.TIF,416.2118907026955,483.0
Drone/2022-02-19/DCIM/100FPLAN/RGB/DJI_001_4200/2022_02_19_10_100073_DJI_001_-38.23606383333333_145.53049869444445_-58.20_13_24_6.TIF,55.378158373121686,24.0
Drone/2022-02-19/DCIM/100FPLAN/RGB/DJI_001_4200/2022_02_19_10_100073_DJI_001_-38.23606383333333_145.53049869444445_-58.20_14_399_6.TIF,377.3761054016305,399.0
Drone/2022-02-19/DCIM/100FPLAN/RGB/DJI_001_4200/2022_02_19_10_100073_DJI_001_-38.23606383333333_145.53049869444445_-58.20_15_186_6.TIF,197.45759031949578,186.0
Drone/2022-02-19/DCIM/100FPLAN/RGB/DJI_001_4200/2022_02_19_10_100073_DJI_001_-38.23606383333333_145.53049869444445_-58.20_16_34_6.TIF,74.19538989353265,34.0
Drone/2022-02-19/DCIM/100FPLAN/RGB/DJI_001_4200/2022_02_19_10_100073_DJI_001_-38.23606383333333_145.53049869444445_-58.20_17_75_6.TIF,114.49309761271152,75.0
Drone/2022-02-19/DCIM/100FPLAN/RGB/DJI_001_4200/2022_02_19_10_100073_DJI_001_-38.23606383333333_145.53049869444445_-58.20_18_191_6.TIF,214.84943706502935,191.0
Drone/2022-02-19/DCIM/100FPLAN/RGB/DJI_001_4200/2022_02_19_10_100073_DJI_001_-38.23606383333333_145.53049869444445_-58.20_19_192_6.TIF,206.35858076281949,192.0
Drone/2022-02-19/DCIM/100FPLAN/RGB/DJI_001_4200/2022_02_19_10_100073_DJI_001_-38.23606383333333_145.53049869444445_-58.20_1_146_6.TIF,150.608542072418,146.0
Drone/2022-02-19/DCIM/100FPLAN/RGB/DJI_001_4200/2022_02_19_10_100073_DJI_001_-38.23606383333333_145.53049869444445_-58.20_20_183_6.TIF,200.7400341261269,183.0
